Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Participation,Archery Women's Team Participation,Archery Coed Team Men Participation,Archery Coed Team Women Participation,Archery Total Participation,Badminton Men's Team Participation,Badminton Women's Team Participation,Badminton Coed Team Men Participation,Badminton Coed Team Women Participation,Badminton Total Participation,Baseball Men's Team Participation,Baseball Women's Team Participation,Baseball Coed Team Men Participation,Baseball Coed Team Women Participation,Baseball Total Participation,Basketball Men's Team Participation,Basketball Women's Team Participation,Basketball Coed Team Men Participation,Basketball Coed Team Women Participation,Basketball Total Participation,Beach Volleyball Men's Team Participation,Beach Volleyball Women's Team Participation,Beach Volleyball Coed Team Men Participation,Beach Volleyball Coed Team Women Participation,Beach Volleyball Total Participation,Bowling Men's Team Participation,Bowling Women's Team Participation,Bowling Coed Team Men Participation,Bowling Coed Team Women Participation,Bowling Total Participation,All Track Combined Men's Team Participation,All Track Combined Women's Team Participation,All Track Combined Coed Team Men Participation,All Track Combined Coed Team Women Participation,All Track Combined Total Participation,Diving Men's Team Participation,Diving Women's Team Participation,Diving Coed Team Men Participation,Diving Coed Team Women Participation,Diving Total Participation,Equestrian Men's Team Participation,Equestrian Women's Team Participation,Equestrian Coed Team Men Participation,Equestrian Coed Team Women Participation,Equestrian Total Participation,Fencing Men's Team Participation,Fencing Women's Team Participation,Fencing Coed Team Men Participation,Fencing Coed Team Women Participation,Fencing Total Participation,Field Hockey Men's Team Participation,Field Hockey Women's Team Participation,Field Hockey Coed Team Men Participation,Field Hockey Coed Team Women Participation,Field Hockey Total Participation,Football Men's Team Participation,Football Women's Team Participation,Football Coed Team Men Participation,Football Coed Team Women Participation,Football Total Participation,Golf Men's Team Participation,Golf Women's Team Participation,Golf Coed Team Men Participation,Golf Coed Team Women Participation,Golf Total Participation,Gymnastics Men's Team Participation,Gymnastics Women's Team Participation,Gymnastics Coed Team Men Participation,Gymnastics Coed Team Women Participation,Gymnastics Total Participation,Ice Hockey Men's Team Participation,Ice Hockey Women's Team Participation,Ice Hockey Coed Team Men Participation,Ice Hockey Coed Team Women Participation,Ice Hockey Total Participation,Lacrosse Men's Team Participation,Lacrosse Women's Team Participation,Lacrosse Coed Team Men Participation,Lacrosse Coed Team Women Participation,Lacrosse Total Participation,Rifle Men's Team Participation,Rifle Women's Team Participation,Rifle Coed Team Men Participation,Rifle Coed Team Women Participation,Rifle Total Participation,Rodeo Men's Team Participation,Rodeo Women's Team Participation,Rodeo Coed Team Men Participation,Rodeo Coed Team Women Participation,Rodeo Total Participation,Rowing Men's Team Participation,Rowing Women's Team Participation,Rowing Coed Team Men Participation,Rowing Coed Team Women Participation,Rowing Total Participation,Sailing Men's Team Participation,Sailing Women's Team Participation,Sailing Coed Team Men Participation,Sailing Coed Team Women Participation,Sailing Total Participation,Skiing Men's Team Participation,Skiing Women's Team Participation,Skiing Coed Team Men Participation,Skiing Coed Team Women Participation,Skiing Total Participation,Soccer Men's Team Participation,Soccer Women's Team Participation,Soccer Coed Team Men Participation,Soccer Coed Team Women Participation,Soccer Total Participation,Softball Men's Team Participation,Softball Women's Team Participation,Softball Coed Team Men Participation,Softball Coed Team Women Participation,Softball Total Participation,Squash Men's Team Participation,Squash Women's Team Participation,Squash Coed Team Men Participation,Squash Coed Team Women Participation,Squash Total Participation,Swimming and Diving Men's Team Participation,Swimming and Diving Women's Team Participation,Swimming and Diving Coed Team Men Participation,Swimming and Diving Coed Team Women Participation,Swimming and Diving Total Participation,Swimming Men's Team Participation,Swimming Women's Team Participation,Swimming Coed Team Men Participation,Swimming Coed Team Women Participation,Swimming Total Participation,Synchronized Swimming Men's Team Participation,Synchronized Swimming Women's Team Participation,Synchronized Swimming Coed Team Men Participation,Synchronized Swimming Coed Team Women Participation,Synchronized Swimming Total Participation,Table Tennis Men's Team Participation,Table Tennis Women's Team Participation,Table Tennis Coed Team Men Participation,Table Tennis Coed Team Women Participation,Table Tennis Total Participation,Team Handball Men's Team Participation,Team Handball Women's Team Participation,Team Handball Coed Team Men Participation,Team Handball Coed Team Women Participation,Team Handball Total Participation,Tennis Men's Team Participation,Tennis Women's Team Participation,Tennis Coed Team Men Participation,Tennis Coed Team Women Participation,Tennis Total Participation,Track and Field Indoor Men's Team Participation,Track and Field Indoor Women's Team Participation,Track and Field Indoor Coed Team Men Participation,Track and Field Indoor Coed Team Women Participation,Track and Field Indoor Total Participation,Track and Field Outdoor Men's Team Participation,Track and Field Outdoor Women's Team Participation,Track and Field Outdoor Coed Team Men Participation,Track and Field Outdoor Coed Team Women Participation,Track and Field Outdoor Total Participation,Track and Field X Country Men's Team Participation,Track and Field X Country Women's Team Participation,Track and Field X Country Coed Team Men Participation,Track and Field X Country Coed Team Women Participation,Track and Field X Country Total Participation,Volleyball Men's Team Participation,Volleyball Women's Team Participation,Volleyball Coed Team Men Participation,Volleyball Coed Team Women Participation,Volleyball Total Participation,Water Polo Men's Team Participation,Water Polo Women's Team Participation,Water Polo Coed Team Men Participation,Water Polo Coed Team Women Participation,Water Polo Total Participation,Weight Lifting Men's Team Participation,Weight Lifting Women's Team Participation,Weight Lifting Coed Team Men Participation,Weight Lifting Coed Team Women Participation,Weight Lifting Total Participation,Wrestling Men's Team Participation,Wrestling Women's Team Participation,Wrestling Coed Team Men Participation,Wrestling Coed Team Women Participation,Wrestling Total Participation,Other Sports Men's Team Participation,Other Sports Women's Team Participation,Other Sports Coed Team Men Participation,Other Sports Coed Team Women Participation,Other Sports Total Participation,Total Men's Team Participation,Total Women's Team Participation,Total Coed Team Men Participation,Total Coed Team Women Participation,Grand Total Men's Participation,Grand Total Women's Participation,Unduplicated Count Men's Participation,Unduplicated Count Women's Participation
2004,181464,00256500,University of Nebraska at Lincoln,NE,NCAA Division I-A,,1,NCAA,8278,7406,15684,,,,,,,,,,,46,,,,46,15,13,,,28,,,,,,,12,,,12,151,106,,,257,,,,,,,,,,,,,,,,,,,,,133,,,,133,12,13,,,25,15,16,,,31,,,,,,,,,,,,8,,,8,,,,,,,,,,,,,,,,,,,,,,23,,,23,,20,,,20,,,,,,,27,,,27,,,,,,,,,,,,,,,,,,,,,11,12,,,23,,,,,,,,,,,,,,,,,15,,,15,,,,,,,,,,,38,,,,38,,,,,,421,265,,,421,265,340,211
2005,181464,00256500,University of Nebraska at Lincoln,NE,NCAA Division I-A,,1,NCAA,8339,7429,15768,,,,,,,,,,,48,,,,48,18,13,,,31,,,,,,,10,,,10,162,128,,,290,,,,,,,,,,,,,,,,,,,,,127,,,,127,11,11,,,22,17,14,,,31,,,,,,,,,,,,8,,,8,,,,,,,,,,,,,,,,,,,,,,27,,,27,,21,,,21,,,,,,,26,,,26,,,,,,,,,,,,,,,,,,,,,10,10,,,20,,,,,,,,,,,,,,,,,15,,,15,,,,,,,,,,,35,,,,35,,,,,,428,283,,,428,283,342,212
2006,181464,00256500,University of Nebraska at Lincoln,NE,NCAA Division I-A,,1,NCAA,8339,7429,15768,,,,,,,,,,,44,,,,44,21,15,,,36,,,,,,,11,,,11,152,114,,,266,,,,,,,,,,,,,,,,,,,,,135,,,,135,9,10,,,19,20,14,,,34,,,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,34,,,34,,19,,,19,,,,,,,30,,,30,,,,,,,,,,,,,,,,,,,,,14,8,,,22,,,,,,,,,,,,,,,,,14,,,14,,,,,,,,,,,38,,,,38,,,,,,433,276,,,433,276,354,214
2007,181464,00256500,University of Nebraska-Lincoln,NE,NCAA Division I-A,,1,NCAA,8995,7762,16757,,,,,,,,,,,37,,,,37,19,16,,,35,,,,,,,14,,,14,187,118,,,305,,,,,,,,,,,,,,,,,,,,,132,,,,132,9,11,,,20,23,15,,,38,,,,,,,,,,,,9,,,9,,,,,,,,,,,,,,,,,,,,,,33,,,33,,19,,,19,,,,,,,31,,,31,,,,,,,,,,,,,,,,,,,,,14,9,,,23,,,,,,,,,,,,,,,,,15,,,15,,,,,,,,,,,35,,,,35,,,,,,456,290,,,456,290,353,226
2008,181464,00256500,University of Nebraska-Lincoln,NE,NCAA Division I-A,,1,NCAA,9345,7938,17283,,,,,,,,,,,36,,,,36,19,14,,,33,,,,,,,11,,,11,190,116,,,306,,,,,,,,,,,,,,,,,,,,,156,,,,156,11,11,,,22,22,18,,,40,,,,,,,,,,,,9,,,9,,,,,,,,,,,,,,,,,,,,,,27,,,27,,22,,,22,,,,,,,31,,,31,,,,,,,,,,,,,,,,,,,,,14,11,,,25,,,,,,,,,,,,,,,,,18,,,18,,,,,,,,,,,40,,,,40,,,,,,488,288,,,488,288,384,222
2009,181464,00256500,University of Nebraska-Lincoln,NE,NCAA Division I-A,,1,NCAA,9583,8154,17737,,,,,,,,,,,40,,,,40,20,32,,,52,,,,,,,12,,,12,194,115,,,309,,,,,,,,,,,,,,,,,,,,,153,,,,153,11,9,,,20,27,13,,,40,,,,,,,,,,,,8,,,8,,,,,,,,,,,,,,,,,,,,,,29,,,29,,24,,,24,,,,,,,41,,,41,,,,,,,,,,,,,,,,,,,,,14,12,,,26,,,,,,,,,,,,,,,,,20,,,20,,,,,,,,,,,32,,,,32,,,,,,491,315,,,491,315,386,237
2010,181464,00256500,University of Nebraska-Lincoln,NE,NCAA Division I-A,,1,NCAA,9774,8355,18129,,,,,,,,,,,42,,,,42,20,34,,,54,,,,,,,8,,,8,180,127,,,307,,,,,,,,,,,,,,,,,,,,,167,,,,167,11,10,,,21,22,15,,,37,,,,,,,,,,,,9,,,9,,,,,,,,,,,,,,,,,,,,,,28,,,28,,21,,,21,,,,,,,40,,,40,,,,,,,,,,,,,,,,,,,,,14,11,,,25,,,,,,,,,,,,,,,,,24,,,24,,,,,,,,,,,38,,,,38,,,,,,494,327,,,494,327,395,258
2011,181464,00256500,University of Nebraska-Lincoln,NE,NCAA Division I-A,,1,NCAA,9677,8362,18039,,,,,,,,,,,36,,,,36,18,32,,,50,,,,,,,12,,,12,140,126,,,266,,,,,,,,,,,,,,,,,,,,,150,,,,150,13,12,,,25,22,19,,,41,,,,,,,,,,,,8,,,8,,,,,,,,,,,,,,,,,,,,,,28,,,28,,19,,,19,,,,,,,39,,,39,,,,,,,,,,,,,,,,,,,,,11,10,,,21,,,,,,,,,,,,,,,,,16,,,16,,,,,,,,,,,33,,,,33,,,,,,423,321,,,423,321,348,253
2012,181464,00256500,University of Nebraska-Lincoln,NE,NCAA Division I-A,,1,NCAA,9604,8162,17766,,,,,,,,,,,41,,,,41,19,31,,,50,,11,,,11,,11,,,11,169,123,,,292,,,,,,,,,,,,,,,,,,,,,151,,,,151,13,11,,,24,22,16,,,38,,,,,,,,,,,,11,,,11,,,,,,,,,,,,,,,,,,,,,,24,,,24,,20,,,20,,,,,,,41,,,41,,,,,,,,,,,,,,,,,,,,,12,8,,,20,,,,,,,,,,,,,,,,,14,,,14,,,,,,,,,,,38,,,,38,,,,,,465,321,,,465,321,372,242
2013,181464,00256500,University of Nebraska-Lincoln,NE,NCAA Division I-A,,1,NCAA,9697,8405,18102,,,,,,,,,,,38,,,,38,18,29,,,47,,13,,,13,,11,,,11,193,126,,,319,,,,,,,,,,,,,,,,,,,,,141,,,,141,15,10,,,25,22,15,,,37,,,,,,,,,,,,11,,,11,,,,,,,,,,,,,,,,,,,,,,27,,,27,,19,,,19,,,,,,,34,,,34,,,,,,,,,,,,,,,,,,,,,15,11,,,26,,,,,,,,,,,,,,,,,19,,,19,,,,,,,,,,,36,,,,36,,,,,,478,325,,,478,325,376,244
