AGE,RACE,SEX,VDAT,VTIM,TICK_,CHGNO,RKY,ONST,ATST,BTST,CITED,CHARGED,CB,ObjectId
17,W,M,2021/01/03 00:00:00+00,1816,LO6400044,1,C1-000736,NW 48/W SUPERIOR,,,2112,NEGLIGENT DRIVING,C,1
36,B,M,2020/12/31 00:00:00+00,2259,LO1500027,1,C0-119732,27TH AND CORNHUS,KER HWY,,2037,LOITER AND TRESPASS,C,2
33,W,M,2021/01/02 00:00:00+00,214,LB677091,1,C1-000345,S 10,LINCOLN MALL,N,1353,FLEE IN MOTOR VEHICLE TO AVOID ARREST,B,3
23,B,M,2021/01/04 00:00:00+00,2146,LP4900021,2,,S 48TH/VAN DORN,,,1406,OPERATE MOPED WITHOUT LICENSE,C,4
17,W,M,2021/01/03 00:00:00+00,1816,LO6400044,2,C1-000736,NW 48/W SUPERIOR,,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,5
39,H,M,2020/12/31 00:00:00+00,2324,LO1500028,1,C0-119746,N 11TH AND CORNH,USKER HWY,,1898,"SUSPENDED LICENSE, ELIGIBLE",C,6
22,B,F,2021/01/05 00:00:00+00,32,2021000060,1,,3801 W O,-,-,676,ARRESTED ON COUNTY WARRANT-MSD,B,7
33,W,M,2021/01/02 00:00:00+00,214,LB677091,2,C1-000345,S 10,LINCOLN MALL,N,1898,"SUSPENDED LICENSE, ELIGIBLE",B,8
17,W,M,2021/01/03 00:00:00+00,1816,LO6400044,3,C1-000736,NW 48/W SUPERIOR,,,1556,OCCUPANT PROTECTION SYSTEM,C,9
39,H,M,2020/12/31 00:00:00+00,2324,LO1500028,2,C0-119746,N 11TH AND CORNH,USKER HWY,,2181,OPERATE M/V W/O HEADLIGHTS/TAILLIGHTS,C,10
34,H,M,2021/01/05 00:00:00+00,717,LP6900196,1,C1-001174,BEAVER CREEK/ BU,FFALO CREEK TO S,UGAR CREEK,2115,REVOKED/IMPOUNDED,C,11
33,W,M,2021/01/02 00:00:00+00,214,LB677091,3,C1-000345,S 10,LINCOLN MALL,N,2167,IMPROPER REGISTRATION,B,12
21,W,M,2021/01/02 00:00:00+00,1933,LQ3500047,1,C1-000517,1448 N 48,,,12287,"DOMESTIC ASSAULT, 3RD DEG - PRIOR",B,13
17,B,F,2020/12/30 00:00:00+00,2300,LO4400003,1,,8TH/O ST TO 2ND/,O ST,,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,14
34,H,M,2021/01/05 00:00:00+00,717,LP6900196,2,C1-001174,BEAVER CREEK/ BU,FFALO CREEK TO S,UGAR CREEK,1683,VIOLATE SPEED LIMIT 6 - 10 OVER,C,15
26,B,M,2021/01/02 00:00:00+00,426,LQ3500045,1,C1-000360,200 BLK OF GARBE,R AVE,,12560,DUI-ALCOHOL-1ST OFF,B,16
31,W,M,2020/12/30 00:00:00+00,2000,LP2400032,1,C0-119379,1701 SOUTH ST,,,10652,THEFT BY UNLAWFUL TAKING   UNDER $200  (M),C,17
29,B,M,2021/01/04 00:00:00+00,945,LB663266,1,C1-000883,1101 CAMBRIDGE,CHARLESTON APTS,-,2037,LOITER AND TRESPASS,C,18
19,U,M,2020/12/31 00:00:00+00,2055,LO5300022,1,,ANTELOPE VALLEY,PARKWAY AND O ST,REET,1511,CHANGE COURSE WITHOUT SIGNAL,C,19
26,B,M,2021/01/02 00:00:00+00,426,LQ3500045,2,C1-000360,200 BLK OF GARBE,R AVE,,11045,RECKLESS OR NEGLIGENT OPERATION,B,20
25,W,M,2021/01/04 00:00:00+00,111,LO6400045,1,C1-000815,SUPERIOR/48,,,1898,"SUSPENDED LICENSE, ELIGIBLE",C,21
66,W,F,2021/01/05 00:00:00+00,737,LN3800142,1,,NORMAL / 56-58,,,2167,IMPROPER REGISTRATION,C,22
19,U,M,2020/12/31 00:00:00+00,2055,LO5300022,2,,ANTELOPE VALLEY,PARKWAY AND O ST,REET,2167,IMPROPER REGISTRATION,C,23
26,B,M,2021/01/02 00:00:00+00,426,LQ3500045,3,C1-000360,200 BLK OF GARBE,R AVE,,10635,NO OPERATOR LICENSE,B,24
25,W,M,2021/01/04 00:00:00+00,111,LO6400045,2,C1-000815,SUPERIOR/48,,,2167,IMPROPER REGISTRATION,C,25
22,B,M,2021/01/03 00:00:00+00,1303,LP7600028,1,C1-000668,"84TH &AMP; VAN D",ORN,,1328,VIOLATE AUTOMATIC TRAFFIC SIGNAL,C,26
19,U,M,2020/12/31 00:00:00+00,2055,LO5300022,3,,ANTELOPE VALLEY,PARKWAY AND O ST,REET,2205,IMPROPER RIGHT TURN,C,27
45,W,M,2021/01/03 00:00:00+00,2030,LO6700025,1,C1-000762,,,,1296,"ASSAULT, STRIKE OR CAUSE BODILY INJURY",C,28
26,B,M,2021/01/02 00:00:00+00,426,LQ3500045,4,C1-000360,200 BLK OF GARBE,R AVE,,11220,POSS OPEN ALCOHOL CONTAINER,B,29
49,H,F,2020/12/31 00:00:00+00,2139,LO5300023,1,,23RD AND O STREE,T,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,30
20,W,F,2021/01/05 00:00:00+00,733,LQ3200056,1,,S 27TH ST FTOM J,ST TO E ST,,2171,FICTITIOUS LICENSE PLATES,C,31
26,B,M,2021/01/02 00:00:00+00,426,LQ3500046,1,C1-000364,200 BLK OF GARBE,R AVE,,11088,POSS CONTROLLED SUBSTANCE,B,32
26,W,M,2021/01/03 00:00:00+00,2132,LP2700054,1,,33RD AND A,,,2167,IMPROPER REGISTRATION,C,33
49,H,F,2020/12/31 00:00:00+00,2139,LO5300023,2,,23RD AND O STREE,T,,2181,OPERATE M/V W/O HEADLIGHTS/TAILLIGHTS,C,34
0,,,2020/12/31 00:00:00+00,0,XX2210004,1,C0-119740,350 CANOPY,,,2261,VIOLATE ORDER OF THE HEALTH DIRECTOR,C,35
32,W,M,2021/01/04 00:00:00+00,221,LQ1800007,1,,N 70TH ST / ADAM,S - HUNTINGTON,,2167,IMPROPER REGISTRATION,C,36
26,B,M,2021/01/02 00:00:00+00,426,LQ3500046,2,C1-000364,200 BLK OF GARBE,R AVE,,11080,"POSS MARIJUANA, LESS THAN 1 OZ - 1ST OFF",B,37
36,W,F,2020/12/31 00:00:00+00,1900,LO6400042,1,C0-119672,N 5/NANCE,,,9462,CHILD ABUSE (M),C,38
0,,,2020/12/31 00:00:00+00,0,XX2210005,1,C0-119740,104 N 20,,,2261,VIOLATE ORDER OF THE HEALTH DIRECTOR,C,39
36,B,M,2021/01/03 00:00:00+00,2343,LQ3500054,1,C1-000803,USUDS 942 S 27,,,9654,"CRIMINAL TRESPASS, 2ND DEG",B,40
39,H,F,2021/01/01 00:00:00+00,2024,LB670087,1,C1-000286,4700 N 27,WALMART,-,12309,THEFT BY SHOPLIFTING $0-$500,C,41
27,W,M,2020/12/31 00:00:00+00,1944,LP2100051,1,C0-119660,S 70TH ST / OLD,POST RD,,2112,NEGLIGENT DRIVING,C,42
0,,,2020/12/31 00:00:00+00,0,XX2210006,1,C0-119740,1630 P,,,2261,VIOLATE ORDER OF THE HEALTH DIRECTOR,C,43
38,W,F,2021/01/04 00:00:00+00,245,LB675315,1,C1-000826,HOLDREGE,N 70,N 69,11088,POSS CONTROLLED SUBSTANCE,B,44
18,W,M,2020/12/31 00:00:00+00,1954,LP2100052,1,C0-119687,S 70TH / OLD POS,T RD,,1303,DISTURBING THE PEACE,C,45
23,B,M,2020/12/31 00:00:00+00,1943,LP2700051,1,,17TH/P,,,2181,OPERATE M/V W/O HEADLIGHTS/TAILLIGHTS,C,46
23,B,M,2020/12/31 00:00:00+00,1943,LP2700051,2,,17TH/P,,,2167,IMPROPER REGISTRATION,C,47
24,H,F,2020/12/31 00:00:00+00,2342,LP2700053,1,,27TH/P STREET,,,1328,VIOLATE AUTOMATIC TRAFFIC SIGNAL,C,48
24,H,F,2020/12/31 00:00:00+00,2342,LP2700053,2,,27TH/P STREET,,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,49
22,W,F,2020/12/31 00:00:00+00,220,LQ3400012,1,C0-119444,11TH L TO M,,,11640,DUI-.15+ (1ST OFF),B,50
25,B,M,2020/10/17 00:00:00+00,1815,LB677404,1,C0-096914,3002 DUDLEY,-,-,11907,DOMESTIC ASSAULT-3RD DEGREE,B,51
25,B,M,2020/10/17 00:00:00+00,1815,LB677404,3,C0-096914,3002 DUDLEY,-,-,11907,DOMESTIC ASSAULT-3RD DEGREE,B,52
25,B,M,2020/10/17 00:00:00+00,1815,LB677404,4,C0-096914,3002 DUDLEY,-,-,9462,CHILD ABUSE (M),B,53
25,B,M,2020/10/17 00:00:00+00,1815,LB677404,5,C0-096914,3002 DUDLEY,-,-,9654,"CRIMINAL TRESPASS, 2ND DEG",B,54
36,W,F,2020/12/31 00:00:00+00,1805,LB676839,1,C0-119649,N 5,NANCE,-,12052,DUI W/PASSENGER UNDER 16,B,55
36,W,F,2020/12/31 00:00:00+00,1805,LB676839,2,C0-119649,N 5,NANCE,-,1374,"REFUSE CHEMICAL TEST, FIRST OFFENSE",B,56
36,W,F,2020/12/31 00:00:00+00,1805,LB676839,3,C0-119649,N 5,NANCE,-,2112,NEGLIGENT DRIVING,B,57
36,W,F,2020/12/31 00:00:00+00,1805,LB676839,4,C0-119649,N 5,NANCE,-,2176,OPERATE MOTOR VEHICLE W/O LICENSE,B,58
44,W,F,2021/01/01 00:00:00+00,451,LO6100012,1,C1-000095,O STREET/ 14TH S,TREET-CENTENNIAL,MALL,1361,BACKING MOTOR VEHICLE WITHOUT SAFETY,C,59
23,B,M,2020/12/31 00:00:00+00,2013,LP2700052,1,C0-119696,P/ANTELOPE-27TH,,,2105,WILLFUL RECKLESS DRIVING,C,60
32,W,F,2020/12/31 00:00:00+00,2024,LQ5500018,1,,S. 10/ A STREET,,,1328,VIOLATE AUTOMATIC TRAFFIC SIGNAL,C,61
46,W,M,2020/12/31 00:00:00+00,630,LB626389,1,C0-119460,6400 N 84,-,-,12312,"THEFT BY SHOPLIFTING $0-$500, 3RD/SUBSQ",B,62
25,B,M,2021/01/01 00:00:00+00,200,LB677403,1,C1-000049,3002 DUDLEY,-,-,11907,DOMESTIC ASSAULT-3RD DEGREE,B,63
25,B,M,2021/01/01 00:00:00+00,200,LB677403,2,C1-000049,3002 DUDLEY,-,-,9462,CHILD ABUSE (M),B,64
25,B,M,2021/01/01 00:00:00+00,200,LB677403,3,C1-000049,3002 DUDLEY,-,-,9654,"CRIMINAL TRESPASS, 2ND DEG",B,65
