ADDRESS,INC1,INC2,INC3,INC4,LOC_CODE,CASE_NUMBER,TIME,DATE,DAY_FROM,DATE_FROM,TIME_FROM,DAY_TO,DATE_TO,TIME_TO,LOSS,DAMG,ObjectId
200 BLOCK BRIDGER RD,5222,0,0,0,80,C3-000016,27,1/1/2023,SUN,1/1/2023,1,SUN,1/1/2023,27,0,0,1
600 BLOCK W CORNHUSKER HWY,5333,0,0,0,1,C3-000020,31,1/1/2023,SUN,1/1/2023,25,SUN,1/1/2023,31,0,0,2
900 BLOCK GASLIGHT LN,8222,0,0,0,81,C3-000025,42,1/1/2023,SUN,1/1/2023,30,SUN,1/1/2023,42,0,0,3
6800 BLOCK WILDCAT DR,23300,0,0,0,25,C3-000031,113,1/1/2023,SUN,1/1/2023,45,SUN,1/1/2023,113,0,0,4
1300 BLOCK O ST,5222,0,0,0,3,C3-000032,111,1/1/2023,SUN,1/1/2023,109,SUN,1/1/2023,111,0,0,5
200 BLOCK N 9TH ST,5222,0,0,0,12,C3-000047,159,1/1/2023,SUN,1/1/2023,150,SUN,1/1/2023,159,0,0,6
1400 BLOCK O ST,5222,0,0,0,1,C3-000051,224,1/1/2023,SUN,1/1/2023,223,,,224,0,0,7
200 BLOCK DAWES AVE,42000,0,0,0,81,C3-000053,226,1/1/2023,SUN,1/1/2023,220,SUN,1/1/2023,226,0,300,8
3000 BLOCK NW 12TH ST,41000,0,0,0,86,C3-000063,144,1/1/2023,SUN,1/1/2023,120,SUN,1/1/2023,144,0,0,9
3600 BLOCK MADISON AVE,5222,0,0,0,80,C3-000065,158,1/1/2023,SUN,1/1/2023,30,SUN,1/1/2023,158,0,0,10
3000 BLOCK VINE ST,5333,0,0,0,80,C3-000067,302,1/1/2023,SUN,1/1/2023,300,SUN,1/1/2023,302,0,0,11
4200 BLOCK INDUSTRIAL AVE,9000,0,0,0,86,C3-000077,346,1/1/2023,SUN,1/1/2023,340,,,346,0,0,12
2500 BLOCK NW 4TH ST,25211,0,0,0,80,C3-000081,354,1/1/2023,,1/1/2023,344,,,354,0,0,13
