ADDRESS,RD,INC_,TYPE_CODE,CALL_TYPE,LOC_CODE,CASE_NUMBER,TIME,DATE,DAY_FROM,DATE_FROM,TIME_FROM,DAY_TO,DATE_TO,TIME_TO,LOSS,DAMG,FID
3500 BLOCK OF HOLDREDGE ST,33,54111,9800,LOST/STOLE,24,B6-068668,2311,2011/07/28 00:00:00+00,THU,2016/07/28 00:00:00+00,1600,THU,2016/07/28 00:00:00+00,1730,66,0,1
100 BLOCK OF N 29TH ST,31,9300,7500,CHILD A/N,1,B6-000681,1719,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,1715,SUN,2016/01/03 00:00:00+00,1719,0,0,2
100 BLOCK OF N 10TH ST,75,23400,6603,LFB $1-49,0,B6-E00001,225,2016/01/01 00:00:00+00,,2016/01/01 00:00:00+00,130,,2016/01/01 00:00:00+00,200,30,0,3
100 BLOCK OF Q ST,20,42000,9400,VANDALISM,76,B6-000269,2007,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,1200,FRI,2016/01/01 00:00:00+00,2007,0,100,4
100 BLOCK OF Q ST,20,37000,3401,ROB NO WEAP,76,B6-000226,1606,2016/01/01 00:00:00+00,THU,2015/01/01 00:00:00+00,1500,FRI,2016/01/01 00:00:00+00,1505,100,0,5
1000 BLOCK OF FALL CREEK RD,53,42000,9443,VAND/VEH,1,B6-000136,903,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,100,,,845,0,300,6
1000 BLOCK OF M ST,82,5000,4151,ASLT NO WEAP,2,B6-000061,208,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,100,FRI,2016/01/01 00:00:00+00,130,0,0,7
1000 BLOCK OF S 14TH ST,85,42000,9443,VAND/VEH,1,B6-000106,410,2016/01/01 00:00:00+00,THU,2015/12/31 00:00:00+00,2100,FRI,2016/01/01 00:00:00+00,400,0,300,8
10TH & GARFIELD,94,5100,4152,ASLT NO WEAP,1,B6-000066,220,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,200,FRI,2016/01/01 00:00:00+00,220,0,200,9
1100 BLOCK OF F ST,86,5000,4152,ASLT NO WEAP,84,B6-000299,2300,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,2245,FRI,2016/01/01 00:00:00+00,2259,0,0,10
1200 BLOCK OF F ST,85,23500,6301,LFA $200 +,84,B6-000297,2249,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,2244,,,,290,0,11
1400 BLOCK OF O ST,78,14900,0,LIC VIOL.,12,B6-000034,113,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,105,FRI,2016/01/01 00:00:00+00,112,0,0,12
1400 BLOCK OF SUPERIOR ST,129,5000,4151,ASLT NO WEAP,18,B6-000104,500,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,30,FRI,2016/01/01 00:00:00+00,47,0,0,13
1400 BLOCK OF SUPERIOR ST,129,5000,4152,ASLT NO WEAP,18,B6-000023,47,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,30,FRI,2016/01/01 00:00:00+00,47,0,0,14
