VDAT,AGE,RACE,SEX,VTIM,TICK_,CHGNO,RKY,ONST,ATST,BTST,CITED,CHARGED,CB,ObjectId
2018/12/31 00:00:00+00,23,A,M,1740,LB618163,1,B8-120501,2727 N 11,-,-,12311,"THEFT BY SHOPLIFTING $0-500, 2ND OFF",B,1
2018/12/31 00:00:00+00,19,W,F,1828,LB615801,1,,S 40,PRESCOTT,LOCUST,2167,IMPROPER REGISTRATION,C,2
2018/12/31 00:00:00+00,28,W,F,1424,LB614343,1,B8-120449,S 27,OREILLY,BONACUM,2112,NEGLIGENT DRIVING,C,3
2019/01/01 00:00:00+00,21,B,F,421,2019000008,1,,2410 R #2,-,-,676,ARRESTED ON COUNTY WARRANT-MSD,B,4
2019/01/01 00:00:00+00,40,H,M,554,2019000009,1,,110 Q,-,-,674,ARRESTED ON OUTSIDE AGENCY WARRANT-MSD,B,5
2019/01/01 00:00:00+00,35,I,M,59,2019000003,1,,N 48,SUPERIOR,-,676,ARRESTED ON COUNTY WARRANT-MSD,B,6
2018/12/31 00:00:00+00,37,H,M,2057,2018009875,1,,1101 D,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,7
2019/01/01 00:00:00+00,31,W,M,157,2019000006,1,,4806 W MATHIS,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,8
2018/12/27 00:00:00+00,21,I,M,1836,LB614340,1,B8-119538,S 70,MONTEREY,SOUTH,2112,NEGLIGENT DRIVING,C,9
2018/12/31 00:00:00+00,48,W,F,1946,LB614344,1,B8-120533,RENATTA,S 83,S 84,2112,NEGLIGENT DRIVING,C,10
2018/12/31 00:00:00+00,48,W,F,1946,LB614344,2,B8-120533,RENATTA,S 83,S 84,2167,IMPROPER REGISTRATION,C,11
2018/12/31 00:00:00+00,48,W,F,1946,LB614344,3,B8-120533,RENATTA,S 83,S 84,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,12
2019/01/01 00:00:00+00,25,U,M,15,LB618834,1,,LINCOLN MALL,S 13,S 12,2167,IMPROPER REGISTRATION,C,13
2018/12/31 00:00:00+00,18,W,F,2218,LB618269,1,,40,O,-,2167,IMPROPER REGISTRATION,C,14
2018/12/30 00:00:00+00,83,W,M,1740,LB619503,1,,N 65,FRANCIS,-,2167,IMPROPER REGISTRATION,C,15
2018/12/31 00:00:00+00,35,W,F,2250,LB617108,1,,COTNER,GARLAND,COLBY,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,16
2018/12/31 00:00:00+00,31,W,M,2157,LB618987,1,B8-120554,2662 CORNHUSKER,-,-,1296,"ASSAULT, STRIKE OR CAUSE BODILY INJURY",B,17
2019/01/01 00:00:00+00,24,W,M,34,LB617109,1,,N 48,HOLDREGE,AYLESWORTH,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,18
2018/12/28 00:00:00+00,34,B,M,50,LB611914,1,,N ANTELOPE VALL,MILITARY,-,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,19
2018/12/28 00:00:00+00,34,B,M,50,LB611914,2,,N ANTELOPE VALL,MILITARY,-,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,20
2018/12/31 00:00:00+00,16,W,F,1225,LB604016,1,,VINE,N 81,CARLOS,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,21
2019/01/01 00:00:00+00,19,W,M,45,LB617110,1,,N 48,HOLDREGE,AYLESWORTH,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,22
2019/01/01 00:00:00+00,41,H,M,7,LB613208,1,B9-000008,N 48,SUPERIOR,-,11088,POSS CONTROLLED SUBSTANCE,B,23
2018/12/31 00:00:00+00,26,I,M,1759,LB617154,1,B8-120506,3801 W O,-,-,12079,VIOLATE FOREIGN PROTECT ORDER - PRIOR,B,24
2019/01/01 00:00:00+00,19,W,M,150,LB617040,1,B9-000035,GREGORY,STRAUSS,N 64,11907,DOMESTIC ASSAULT-3RD DEGREE,B,25
2019/01/01 00:00:00+00,35,I,M,7,LB617155,1,B9-000008,N 48,SUPERIOR,-,11379,DRIVE DURING SUSPENSION/BEFORE REINSTATED,C,26
2019/01/01 00:00:00+00,35,I,M,7,LB618270,1,B9-000008,N 48,SUPERIOR,-,11088,POSS CONTROLLED SUBSTANCE,B,27
2018/12/08 00:00:00+00,26,W,F,1438,LB619456,1,B8-114248,4200 S 27,SHOPKO,-,11477,THEFT BY SHOPLIFTING & HABITUAL CRIMINAL,B,28
2018/12/22 00:00:00+00,26,W,F,1758,LB619455,1,B8-118358,6100 O,JCPENNEY,-,11477,THEFT BY SHOPLIFTING & HABITUAL CRIMINAL,C,29
2018/08/02 00:00:00+00,25,W,F,928,LB619454,1,B8-070501,3400 N 85,WALMART,-,11477,THEFT BY SHOPLIFTING & HABITUAL CRIMINAL,C,30
2018/12/30 00:00:00+00,20,B,M,304,LB609359,1,B8-120140,S 27,A,SOUTH,1875,"DRIVING UNDER INFLUENCE/.08, SECOND OFFENSE",C,31
2018/12/30 00:00:00+00,20,B,M,304,LB609359,2,B8-120140,S 27,A,SOUTH,2115,REVOKED/IMPOUNDED,C,32
2018/12/30 00:00:00+00,20,B,M,304,LB609359,3,B8-120140,S 27,A,SOUTH,2120,POSSESS MARIJUANA 1 OZ OR LESS/1ST,C,33
2018/12/30 00:00:00+00,20,B,M,304,LB609359,4,B8-120140,S 27,A,SOUTH,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,34
