AGE,RACE,SEX,VDAT,VTIM,TICK_,CHGNO,RKY,ONST,ATST,BTST,CITED,CHARGED,CB,ObjectId
74,W,M,2021/12/31 00:00:00+00,1929,LO8200016,1,C1-122020,ANTELOPE VALLEY/,SALT CREEK RDWY,,2112,NEGLIGENT DRIVING,C,1
43,W,F,2022/01/05 00:00:00+00,1700,LN2200104,1,C2-001240,A STREET B/W S.,48TH AND S. 56TH,,2112,NEGLIGENT DRIVING,C,2
23,B,M,2022/01/01 00:00:00+00,2013,LB682059,2,C2-000248,N 33,VINE,-,11658,LEAVE ACCIDENT-FAIL TO FURNISH INFO/1ST,C,3
23,W,M,2022/01/03 00:00:00+00,836,LN2600164,1,C2-000560,K ST/13TH-14TH,,,2112,NEGLIGENT DRIVING,C,4
22,W,F,2021/12/31 00:00:00+00,2331,LO2000081,1,,O STREET/ 17TH S,TREET- 16TH STRE,ET,2167,IMPROPER REGISTRATION,C,5
28,U,M,2022/01/03 00:00:00+00,2108,2022000041,1,,3801 W O,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,6
19,H,M,2022/01/01 00:00:00+00,130,LO2200057,1,C2-000049,27TH AND FAIRFIE,LD ST,,2218,"DRIVING UNDER INFLUENCE, BLOOD 0.8 (1ST)",C,7
23,B,M,2022/01/01 00:00:00+00,2013,LB682059,3,C2-000248,N 33,VINE,-,11379,DRIVE DURING SUSPENSION/BEFORE REINSTATED,C,8
16,W,F,2022/01/05 00:00:00+00,1641,LP1900145,1,C2-001237,70 / SOUTH,,,1342,FOLLOWING ANOTHER VEHICLE TOO CLOSELY,C,9
25,W,M,2022/01/05 00:00:00+00,1540,LP8700139,1,C2-001229,PIONEERS BLVD/PI,ONEER WOODS TO 7,0TH,2111,RECKLESS DRIVING,C,10
29,W,M,2022/01/03 00:00:00+00,954,LN3700705,1,,L/ 16-12,,,2167,IMPROPER REGISTRATION,C,11
23,B,M,2022/01/01 00:00:00+00,2013,LB682059,4,C2-000248,N 33,VINE,-,10229,NO INSURANCE,C,12
19,H,M,2022/01/01 00:00:00+00,130,LO2200057,2,C2-000049,27TH AND FAIRFIE,LD ST,,1373,REFUSE PRELIMINARY BREATH TEST,C,13
54,W,M,2022/01/04 00:00:00+00,932,LB680876,1,C2-000834,824 GARFIELD,-,-,11088,POSS CONTROLLED SUBSTANCE,B,14
19,H,M,2022/01/01 00:00:00+00,130,LO2200057,3,C2-000049,27TH AND FAIRFIE,LD ST,,2111,RECKLESS DRIVING,C,15
43,W,M,2021/09/14 00:00:00+00,1511,LQ3501747,1,C1-086556,KWIK SHOP/2302 C,ORNHUSKER HWY.,,11408,UNAUTH USE FINAN TRANS DEVICE-LESS/$200,C,16
28,W,M,2021/12/31 00:00:00+00,2000,LB676737,1,C1-122040,7001 A,-,-,2124,POSSESS MARIJUANA 1 OZ OR LESS/2ND,C,17
29,W,M,2022/01/03 00:00:00+00,954,LN3700705,2,,L/ 16-12,,,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,18
31,W,M,2022/01/01 00:00:00+00,2249,LO3000044,1,C2-000278,N 70TH ST / STAN,TON,,1898,"SUSPENDED LICENSE, ELIGIBLE",C,19
19,H,M,2022/01/01 00:00:00+00,130,LO2200057,4,C2-000049,27TH AND FAIRFIE,LD ST,,1898,"SUSPENDED LICENSE, ELIGIBLE",C,20
18,H,F,2022/01/05 00:00:00+00,1743,LP4000104,1,C2-001247,N. 48TH AND VINE,ST.,,1333,FAIL TO YIELD TO VEHICLE,C,21
27,B,M,2022/01/04 00:00:00+00,1727,2022000067,1,,SW 9,DONNIE,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,22
38,W,M,2022/01/03 00:00:00+00,2128,LN2500074,1,C2-000767,ADAMS STREET/N 7,2ND-N 70TH,,1898,"SUSPENDED LICENSE, ELIGIBLE",C,23
27,U,F,2022/01/01 00:00:00+00,2300,LB675118,1,C2-000275,3641 BALDWIN #3,-,-,12657,INTIMIDATION/PHONE OR ELECTRONIC COMM,C,24
53,W,F,2022/01/03 00:00:00+00,957,LN3900480,1,,66-FREMONT,,,2167,IMPROPER REGISTRATION,C,25
19,H,M,2022/01/01 00:00:00+00,130,LO2200057,5,C2-000049,27TH AND FAIRFIE,LD ST,,2129,POSSESS OR CONSUME ALCOHOL/MINOR,C,26
31,W,M,2022/01/01 00:00:00+00,2249,LO3000044,2,C2-000278,N 70TH ST / STAN,TON,,1350,DRIVE TOO FAST FOR THE CONDITIONS,C,27
18,H,F,2022/01/05 00:00:00+00,1743,LP4000104,2,C2-001247,N. 48TH AND VINE,ST.,,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,28
38,W,M,2022/01/03 00:00:00+00,2128,LN2500074,2,C2-000767,ADAMS STREET/N 7,2ND-N 70TH,,2112,NEGLIGENT DRIVING,C,29
60,W,M,2022/01/02 00:00:00+00,1511,LN2100086,1,,SUPERIOR ST &AMP,"; N. 27TH ST",,2167,IMPROPER REGISTRATION,C,30
18,B,M,2022/01/04 00:00:00+00,1427,LP3900122,1,C2-000930,S 18TH ST/E ST,,,1331,VIOLATE STOP SIGN,C,31
36,H,F,2022/01/02 00:00:00+00,600,LO4000069,1,C2-000355,3928 N 20,,,11658,LEAVE ACCIDENT-FAIL TO FURNISH INFO/1ST,C,32
18,H,F,2022/01/05 00:00:00+00,1743,LP4000104,3,C2-001247,N. 48TH AND VINE,ST.,,2167,IMPROPER REGISTRATION,C,33
25,H,F,2021/12/31 00:00:00+00,2225,LP3300081,1,,ANTELOPEVALLY AN,D K ST,,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,34
26,W,M,2022/01/02 00:00:00+00,105,LP8700137,1,C2-000293,RANDOLPH ST/ S 4,5TH ST - S 46TH,ST,1350,DRIVE TOO FAST FOR THE CONDITIONS,C,35
33,B,M,2022/01/04 00:00:00+00,1427,LP3900123,1,C2-000930,S 18TH ST AND E,ST,,1898,"SUSPENDED LICENSE, ELIGIBLE",C,36
60,W,M,2022/01/02 00:00:00+00,1511,LN2100086,2,,SUPERIOR ST &AMP,"; N. 27TH ST",,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,37
36,W,M,2021/12/29 00:00:00+00,1355,LB678454,1,C1-121375,6919 O,-,-,12308,"THEFT BY SHOPLIFTING $500-$1,500",C,38
39,B,M,2022/01/04 00:00:00+00,238,LQ3400306,1,C2-000812,48/FRANCIS-HOLDR,EGE,,2001,DUI/.08 1ST OFFENSE >.15,B,39
18,H,F,2022/01/05 00:00:00+00,1743,LP4000104,4,C2-001247,N. 48TH AND VINE,ST.,,2174,VIOLATE LEARNER'S PERMIT,C,40
25,H,F,2021/12/31 00:00:00+00,2225,LP3300081,2,,ANTELOPEVALLY AN,D K ST,,2167,IMPROPER REGISTRATION,C,41
35,W,F,2022/01/01 00:00:00+00,1702,LP8800233,1,C2-000185,14TH/SUPERIOR,,,1370,"DRIVING UNDER INFLUENCE, FIRST OFFENSE",C,42
30,B,F,2022/01/02 00:00:00+00,1407,LP5100262,1,C2-000401,12/P,,,1344,CHANGE COURSE OF MOTOR VEHICLE W/O SAFETY,C,43
41,W,M,2022/01/03 00:00:00+00,307,LB683681,1,C2-000533,S 17,GARFIELD,-,12483,POSS OR OBTAIN LEGEND DRUGS,C,44
39,B,M,2022/01/04 00:00:00+00,238,LQ3400306,2,C2-000812,48/FRANCIS-HOLDR,EGE,,2112,NEGLIGENT DRIVING,B,45
41,W,F,2022/01/04 00:00:00+00,1442,LP3900124,1,C2-000930,S 18TH ST /E ST,,,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,46
39,W,M,2022/01/01 00:00:00+00,407,LP3300082,1,C2-000070,STATE CAPITOL 14,45 K ST,,1523,URINATING IN PUBLIC,C,47
22,W,F,2022/01/05 00:00:00+00,1703,LN1202601,1,,84/ A - HAZELWOO,D,,1685,VIOLATE SPEED LIMIT 16 - 20 OVER,C,48
24,B,F,2021/12/31 00:00:00+00,1647,LP7900081,1,C1-121995,S 32ND STREET /,PINE LAKE ROAD,,2112,NEGLIGENT DRIVING,C,49
48,W,M,2022/01/02 00:00:00+00,1400,LQ5000161,1,C2-000405,27TH/CORNHUSKER-,THERESA,,1361,BACKING MOTOR VEHICLE WITHOUT SAFETY,C,50
41,W,M,2022/01/03 00:00:00+00,307,LB683681,2,C2-000533,S 17,GARFIELD,-,11586,NO VALID REGISTRATION,C,51
48,W,M,2022/01/02 00:00:00+00,1400,LQ5000161,2,C2-000405,27TH/CORNHUSKER-,THERESA,,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,52
20,W,M,2022/01/05 00:00:00+00,2117,LN1202602,1,C2-001305,O/ LYNCREST - EA,STRIDGE,,12200,INTERLOCK VIOLATION-DRIVE W/OUT (M),C,53
19,W,M,2022/01/01 00:00:00+00,145,LQ3400303,1,C2-000038,SUN VALLEY/W O-2,0TH/CORNHUSKER,,2001,DUI/.08 1ST OFFENSE >.15,C,54
29,W,M,2022/01/04 00:00:00+00,1742,LO2100192,1,C2-001007,S.27TH ST/ A ST-,ARLINGTON AVE,,1898,"SUSPENDED LICENSE, ELIGIBLE",C,55
39,B,M,2022/01/04 00:00:00+00,238,LQ3400306,3,C2-000812,48/FRANCIS-HOLDR,EGE,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,B,56
35,W,F,2022/01/01 00:00:00+00,1702,LP8800233,2,C2-000185,14TH/SUPERIOR,,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,57
20,W,M,2022/01/05 00:00:00+00,2117,LN1202602,2,C2-001305,O/ LYNCREST - EA,STRIDGE,,11757,SPEEDING  21-35 MPH  MUNICIPAL,C,58
39,W,F,2022/01/03 00:00:00+00,2000,LQ3501742,1,C2-000779,S 9TH ST/HARRISO,N AVE,,12081,VIOLATE HARASSMENT ORDER,B,59
41,W,M,2022/01/03 00:00:00+00,307,LB683681,3,C2-000533,S 17,GARFIELD,-,11600,UNLAWFUL DISPLAY OF PLATES/RENEWAL TABS,C,60
29,W,M,2022/01/04 00:00:00+00,1742,LO2100192,2,C2-001007,S.27TH ST/ A ST-,ARLINGTON AVE,,2167,IMPROPER REGISTRATION,C,61
23,A,M,2022/01/02 00:00:00+00,1414,LO1800066,1,C2-000406,56/AYLESWORTH,,,2112,NEGLIGENT DRIVING,C,62
19,W,M,2022/01/01 00:00:00+00,145,LQ3400303,2,C2-000038,SUN VALLEY/W O-2,0TH/CORNHUSKER,,2112,NEGLIGENT DRIVING,C,63
29,W,M,2022/01/01 00:00:00+00,218,LQ3400305,1,C2-000060,2200 W FURNAS AV,E,,2001,DUI/.08 1ST OFFENSE >.15,B,64
20,W,M,2022/01/05 00:00:00+00,2038,LO5400171,1,C2-001275,S 40TH ST / NE H,WY 2 - GERTIE AV,E,11658,LEAVE ACCIDENT-FAIL TO FURNISH INFO/1ST,C,65
20,B,F,2022/01/04 00:00:00+00,20,2022000045,1,,1431 N 9 #5,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,66
22,U,M,2022/01/03 00:00:00+00,59,LB682924,1,C2-000512,S 13,SOUTH,-,2124,POSSESS MARIJUANA 1 OZ OR LESS/2ND,C,67
20,W,M,2022/01/04 00:00:00+00,1741,LO6000054,1,C2-000999,70 STEVENS RIDGE,TO OLD CHENEY,,2112,NEGLIGENT DRIVING,C,68
40,W,M,2022/01/02 00:00:00+00,1631,LN7400090,1,C2-000442,O ST / 66 - LYNC,REST,,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,69
22,W,M,2022/01/01 00:00:00+00,200,LQ3400304,1,C2-000057,9TH STREET/ P ST,REET-O STREET,,1370,"DRIVING UNDER INFLUENCE, FIRST OFFENSE",C,70
27,I,M,2022/01/01 00:00:00+00,1815,LQ3501736,1,C2-000227,OREGON TRL / N 1,ST ST,,12313,THEFT BY UNLAWFUL TAKING $5000/MORE,B,71
50,W,M,2022/01/05 00:00:00+00,2133,LO9600195,1,,22 AND P,,,2167,IMPROPER REGISTRATION,C,72
21,B,M,2022/01/04 00:00:00+00,101,2022000046,1,,N 1,DAWES,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,73
28,W,F,2022/01/03 00:00:00+00,1032,LN1202600,1,,OLD CHENEY/ HWY,2,,2167,IMPROPER REGISTRATION,C,74
32,H,M,2021/12/21 00:00:00+00,1645,LN1600218,1,C1-119314,N 44 STREET BALD,WIN TO HUNTINGTO,N,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,75
40,W,M,2022/01/02 00:00:00+00,1631,LN7400090,2,C2-000442,O ST / 66 - LYNC,REST,,2105,WILLFUL RECKLESS DRIVING,C,76
22,W,M,2022/01/01 00:00:00+00,200,LQ3400304,2,C2-000057,9TH STREET/ P ST,REET-O STREET,,2181,OPERATE M/V W/O HEADLIGHTS/TAILLIGHTS,C,77
27,I,M,2022/01/01 00:00:00+00,1815,LQ3501736,2,C2-000227,OREGON TRL / N 1,ST ST,,9193,RESISTING ARREST,B,78
21,H,F,2022/01/06 00:00:00+00,140,LO9600196,1,C2-001339,CAPITAL/RAND,,,1874,"DRIVING UNDER INFLUENCE/.08, FIRST OFFENSE",C,79
20,B,F,2022/01/03 00:00:00+00,2326,LB682390,1,C2-000792,1431 N 9 #5,-,-,1301,MAINTAIN DISORDERLY HOUSE,C,80
28,W,F,2022/01/03 00:00:00+00,1032,LN1202600,2,,OLD CHENEY/ HWY,2,,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,81
33,W,F,2022/01/04 00:00:00+00,1910,LN1600219,1,C2-001036,O STREET 63 TO 6,6,,2112,NEGLIGENT DRIVING,C,82
40,W,M,2022/01/02 00:00:00+00,1631,LN7400090,3,C2-000442,O ST / 66 - LYNC,REST,,2133,HAVE OPEN ALCOHOL CONTAINER,C,83
27,I,M,2022/01/01 00:00:00+00,1815,LQ3501736,3,C2-000227,OREGON TRL / N 1,ST ST,,11379,DRIVE DURING SUSPENSION/BEFORE REINSTATED,B,84
20,W,M,2021/12/31 00:00:00+00,2355,LQ3501733,1,C1-122091,3801 W O STREET,,,1309,INJURE OR DESTROY PROPERTY OF ANOTHER,B,85
35,W,F,2022/01/01 00:00:00+00,2154,LB682921,1,C2-000267,17,WASHINGTON,-,11858,DUS-REVOKED ON POINTS,C,86
41,W,F,2022/01/02 00:00:00+00,1701,LN7400091,1,C2-000442,O ST / 66 - LYNC,REST,,2120,POSSESS MARIJUANA 1 OZ OR LESS/1ST,C,87
30,W,M,2022/01/03 00:00:00+00,1052,LN3700706,1,C2-000600,25/O,,,1898,"SUSPENDED LICENSE, ELIGIBLE",C,88
43,B,M,2022/01/04 00:00:00+00,806,LO4300079,1,C2-000833,GARY GATELY ST/,NW 48TH,,1342,FOLLOWING ANOTHER VEHICLE TOO CLOSELY,C,89
21,H,F,2022/01/06 00:00:00+00,140,LO9600196,2,C2-001339,CAPITAL/RAND,,,2112,NEGLIGENT DRIVING,C,90
26,W,F,2022/01/04 00:00:00+00,1401,LQ3501744,1,C2-000930,18/E,,,1294,REFUSE TO COMPLY WITH ORDER OF POLICE OFFCR,C,91
30,W,M,2022/01/03 00:00:00+00,1052,LN3700706,2,C2-000600,25/O,,,2167,IMPROPER REGISTRATION,C,92
56,B,M,2022/01/05 00:00:00+00,2100,LP3300083,1,C1-106826,2630 ORCHARD,,,1303,DISTURBING THE PEACE,C,93
34,B,M,2022/01/01 00:00:00+00,204,LB683678,1,C2-000054,ROSA PARKS,S 9,-,12052,DUI W/PASSENGER UNDER 16,C,94
54,I,F,2022/01/01 00:00:00+00,55,LQ4700066,1,C2-000031,P ST/ BETWEEN 10,TH AND 1TH STREE,T,1361,BACKING MOTOR VEHICLE WITHOUT SAFETY,C,95
41,W,F,2022/01/02 00:00:00+00,1701,LN7400091,2,C2-000442,O ST / 66 - LYNC,REST,,2119,POSSESS DRUG PARAPHERNALIA,C,96
26,W,F,2022/01/04 00:00:00+00,1401,LQ3501744,2,C2-000930,18/E,,,1493,INTERFERE WITH ARREST,C,97
52,W,F,2022/01/04 00:00:00+00,819,LQ3200551,1,,O ST BET 27TH -,33RD ST,,2167,IMPROPER REGISTRATION,C,98
30,W,M,2022/01/03 00:00:00+00,1052,LN3700706,3,C2-000600,25/O,,,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,99
43,W,F,2021/12/25 00:00:00+00,1935,LP8800234,1,C1-120398,4237 N 20TH ST,,,1296,"ASSAULT, STRIKE OR CAUSE BODILY INJURY",C,100
34,B,M,2022/01/01 00:00:00+00,204,LB683678,2,C2-000054,ROSA PARKS,S 9,-,11549,REFUSAL OF CHEM TEST - 1ST OFF,C,101
59,W,M,2021/12/31 00:00:00+00,2134,2021007842,1,,D,13,14,677,ARRESTED ON COUNTY BENCH WARRANT,B,102
68,B,M,2022/01/02 00:00:00+00,1752,LN9100057,1,C2-000443,N 57TH ST/VINE S,T,,1333,FAIL TO YIELD TO VEHICLE,C,103
16,A,M,2022/01/04 00:00:00+00,2148,LO5800103,1,C2-000731,ROLLING HILLS BL,VD / OLD CHENEY,,1333,FAIL TO YIELD TO VEHICLE,C,104
32,W,M,2022/01/04 00:00:00+00,909,LN3900482,1,,44-ADAMS,,,2167,IMPROPER REGISTRATION,C,105
40,W,M,2022/01/03 00:00:00+00,1131,LN3700707,1,,L/16-12,,,2167,IMPROPER REGISTRATION,C,106
67,W,M,2022/01/05 00:00:00+00,2147,LQ1800141,1,C2-001306,N 49 / VINE,,,1333,FAIL TO YIELD TO VEHICLE,C,107
34,B,M,2022/01/01 00:00:00+00,204,LB683678,3,C2-000054,ROSA PARKS,S 9,-,11553,REFUSE PRELIM TEST,C,108
24,B,M,2021/12/31 00:00:00+00,2224,2021007843,1,,2920 NW 12,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,109
33,H,M,2022/01/02 00:00:00+00,1739,LO8200017,1,C2-000445,33RD/T ST,,,2112,NEGLIGENT DRIVING,C,110
69,W,F,2022/01/03 00:00:00+00,1704,LP3200252,1,,PINE LAKE BETWEE,N BLANCHARD AND,66TH ST,1346,UNLAWFUL U-TURN BETWEEN INTERSECTIONS,C,111
23,W,F,2022/01/04 00:00:00+00,852,LQ2300460,1,,S. 14 / OLD CHEN,EY - CENTERPARK,,2167,IMPROPER REGISTRATION,C,112
40,W,M,2022/01/03 00:00:00+00,1131,LN3700707,2,,L/16-12,,,1556,OCCUPANT PROTECTION SYSTEM,C,113
53,H,M,2022/01/06 00:00:00+00,315,LQ4700067,1,,OST/10TH,,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,114
34,B,M,2022/01/01 00:00:00+00,204,LB683678,4,C2-000054,ROSA PARKS,S 9,-,10821,CARELESS DRIVING,C,115
38,H,M,2021/12/31 00:00:00+00,2334,LB682920,1,C1-122089,2034 F,-,-,11907,DOMESTIC ASSAULT-3RD DEGREE,B,116
33,H,M,2022/01/02 00:00:00+00,1739,LO8200017,2,C2-000445,33RD/T ST,,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,117
80,W,M,2022/01/04 00:00:00+00,1845,LP3200253,1,C2-001025,40TH AND HWY 2,,,1333,FAIL TO YIELD TO VEHICLE,C,118
23,W,F,2022/01/04 00:00:00+00,852,LQ2300460,2,,S. 14 / OLD CHEN,EY - CENTERPARK,,2171,FICTITIOUS LICENSE PLATES,C,119
44,W,M,2022/01/03 00:00:00+00,1103,LN3900481,1,,84-OLD CHENEY,,,2167,IMPROPER REGISTRATION,C,120
26,B,M,2022/01/05 00:00:00+00,1942,LB682925,1,C2-001287,800 S 11,-,-,11088,POSS CONTROLLED SUBSTANCE,B,121
25,U,M,2021/12/31 00:00:00+00,2224,LB682658,1,,13,HWY 2,-,2167,IMPROPER REGISTRATION,C,122
38,H,M,2021/12/31 00:00:00+00,2334,LB682920,2,C1-122089,2034 F,-,-,9195,ATTEMPTED 3RD DEGREE ASSAULT,B,123
19,B,M,2022/01/02 00:00:00+00,1558,LQ3501738,1,C2-000435,3801 W O ST,,,12089,ASSAULT ON OFCR/HEALTH CARE PROF-3RD DEG,B,124
18,W,F,2022/01/02 00:00:00+00,1645,LN1300075,1,,S 84TH ST./HWY 2,,,2167,IMPROPER REGISTRATION,C,125
16,W,M,2022/01/02 00:00:00+00,2132,LN1300076,1,C2-000482,S 16TH ST./NORMA,NDY CT-WINDHOEK,DR.,2112,NEGLIGENT DRIVING,C,126
48,W,F,2022/01/02 00:00:00+00,2157,LN2100087,1,,N. 20TH ST AND C,ORNHUSKER HWY,,2167,IMPROPER REGISTRATION,C,127
21,W,M,2022/01/02 00:00:00+00,2050,LO2000082,1,C2-000477,3200 BLOCK OF PO,TTER ST,,2228,STEAL GOODS OR MONEY < $500,C,128
34,W,M,2022/01/02 00:00:00+00,2314,LQ3501740,1,C2-000498,345 W O STREET,,,12560,DUI-ALCOHOL-1ST OFF,B,129
34,W,M,2022/01/02 00:00:00+00,2314,LQ3501740,2,C2-000498,345 W O STREET,,,9193,RESISTING ARREST,B,130
34,W,M,2022/01/02 00:00:00+00,2314,LQ3501740,3,C2-000498,345 W O STREET,,,11341,REFUSE CHEM TEST-.02 VIOLATION,B,131
34,W,M,2022/01/02 00:00:00+00,2314,LQ3501740,4,C2-000498,345 W O STREET,,,11220,POSS OPEN ALCOHOL CONTAINER,B,132
34,W,M,2022/01/02 00:00:00+00,2314,LQ3501740,5,C2-000498,345 W O STREET,,,10821,CARELESS DRIVING,B,133
33,W,M,2022/01/03 00:00:00+00,448,LB682587,1,C2-000537,2672 S 12,-,-,9194,OBSTRUCTING A PEACE OFFICER,B,134
33,W,M,2022/01/03 00:00:00+00,448,LB682587,2,C2-000537,2672 S 12,-,-,9522,DISTURBING THE PEACE,B,135
46,W,M,2022/01/02 00:00:00+00,2127,LB682586,1,,A,10,9,2167,IMPROPER REGISTRATION,C,136
46,W,M,2022/01/02 00:00:00+00,2127,LB682586,2,,A,10,9,1328,VIOLATE AUTOMATIC TRAFFIC SIGNAL,C,137
46,W,M,2022/01/02 00:00:00+00,2127,LB682586,3,,A,10,9,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,138
51,B,M,2022/01/02 00:00:00+00,1900,LB683680,1,,HWY 2,PIONEERS,S 14,2167,IMPROPER REGISTRATION,C,139
42,W,M,2022/01/02 00:00:00+00,1601,LP3200251,1,C2-000424,SOUTH COTNER BET,WEEN SUMNER AND,FRANKLIN,1350,DRIVE TOO FAST FOR THE CONDITIONS,C,140
33,W,F,2022/01/03 00:00:00+00,721,LQ3200545,1,,CENTENNIAL MALL,"&AMP; O ST",,2167,IMPROPER REGISTRATION,C,141
34,W,M,2022/01/02 00:00:00+00,2116,LQ3501739,1,C2-000478,4800 CHISWICK DR,,,9190,3RD DEG ASSAULT,B,142
31,W,F,2022/01/03 00:00:00+00,755,LO4300078,1,C2-000542,NW 12TH/ W. ADAM,S,,2112,NEGLIGENT DRIVING,C,143
31,W,M,2021/12/23 00:00:00+00,1221,LQ4800083,1,,1ST / W DAWES -,NANCE,,2167,IMPROPER REGISTRATION,C,144
36,W,M,2022/01/02 00:00:00+00,1823,2022000024,1,,6919 O,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,145
41,W,M,2022/01/03 00:00:00+00,404,2022000028,1,,2627 S 12,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,146
39,W,F,2022/01/03 00:00:00+00,800,2022000030,1,,1600 48,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,147
34,W,F,2022/01/03 00:00:00+00,923,LN3900479,1,,13-VAN DORN,,,2167,IMPROPER REGISTRATION,C,148
45,W,M,2022/01/03 00:00:00+00,748,LP7800170,1,C2-000564,S 84TH ST/HIGHWA,Y 2,,2112,NEGLIGENT DRIVING,C,149
32,W,M,2021/12/23 00:00:00+00,1,LB674696,1,C1-119846,GARFIELD,S 10,S 11,11658,LEAVE ACCIDENT-FAIL TO FURNISH INFO/1ST,C,150
32,W,M,2021/12/23 00:00:00+00,1,LB674696,2,C1-119846,GARFIELD,S 10,S 11,10821,CARELESS DRIVING,C,151
36,W,M,2021/10/31 00:00:00+00,1140,LB678453,1,C1-103321,3030 PINE LAKE,-,-,12311,"THEFT BY SHOPLIFTING $0-500, 2ND OFF",C,152
36,W,M,2021/10/31 00:00:00+00,1140,LB678453,2,C1-103321,3030 PINE LAKE,-,-,9654,"CRIMINAL TRESPASS, 2ND DEG",C,153
36,W,M,2021/10/31 00:00:00+00,1140,LB678453,3,C1-103321,3030 PINE LAKE,-,-,12308,"THEFT BY SHOPLIFTING $500-$1,500",C,154
26,B,M,2022/01/05 00:00:00+00,1942,LB682925,2,C2-001287,800 S 11,-,-,11082,"POSS MARIJUANA, LESS THAN 1 OZ -3RD/SUBSQ",B,155
30,H,M,2022/01/01 00:00:00+00,459,LB682585,1,C2-000089,16,E,F,1371,"DRIVING UNDER INFLUENCE, SECOND OFFENSE",C,156
38,H,M,2021/12/31 00:00:00+00,2334,LB682920,3,C1-122089,2034 F,-,-,9462,CHILD ABUSE (M),B,157
26,B,M,2022/01/05 00:00:00+00,1942,LB682925,3,C2-001287,800 S 11,-,-,11858,DUS-REVOKED ON POINTS,B,158
30,H,M,2022/01/01 00:00:00+00,459,LB682585,2,C2-000089,16,E,F,2112,NEGLIGENT DRIVING,C,159
26,W,F,2022/01/04 00:00:00+00,913,LQ2300461,1,,S. 14 ST. / CENT,ERPARK - CUSHMAN,,2167,IMPROPER REGISTRATION,C,160
25,W,M,2022/01/01 00:00:00+00,445,LB682058,1,C2-000087,1442 O,-,-,2037,LOITER AND TRESPASS,B,161
33,W,M,2022/01/04 00:00:00+00,1845,LP3200254,1,C2-001025,HWY 2 AND 40TH,,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,162
31,W,M,2022/01/01 00:00:00+00,1717,LB657935,1,C2-001377,1218 GALLOWAY,-,-,12279,STALKING,B,163
30,H,M,2022/01/01 00:00:00+00,459,LB682585,3,C2-000089,16,E,F,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,164
